index,Cosine Similarity
"('i', 'you')",0.90236914
"('i', 'we')",0.8958864
"('i', 'this')",0.7160625
"('i', 'that')",0.700631
"('i', 'who')",0.65884256
"('i', 'what')",0.8050301
"('i', 'not')",0.7825493
"('i', 'all')",0.73035204
"('i', 'many')",0.5973774
"('i', 'one')",0.7038631
"('i', 'two')",0.50880885
"('i', 'big')",0.67544633
"('i', 'long')",0.6118686
"('i', 'small')",0.46923313
"('i', 'woman')",0.52870256
"('i', 'man')",0.6652322
"('i', 'person')",0.6291877
"('i', 'fish')",0.32315272
"('i', 'bird')",0.3106824
"('i', 'dog')",0.45760238
"('i', 'louse')",-0.04820543
"('i', 'tree')",0.34369612
"('i', 'seed')",0.24868214
"('i', 'leaf')",0.20829248
"('i', 'root')",0.32819188
"('i', 'bark')",0.19388896
"('i', 'skin')",0.33517116
"('i', 'flesh')",0.296188
"('i', 'blood')",0.39957905
"('i', 'bone')",0.2829398
"('i', 'grease')",0.2094956
"('i', 'egg')",0.22820382
"('i', 'horn')",0.27810583
"('i', 'tail')",0.22307493
"('i', 'feather')",0.124554574
"('i', 'hair')",0.4144868
"('i', 'head')",0.48289192
"('i', 'ear')",0.38298333
"('i', 'eye')",0.42405438
"('i', 'nose')",0.40085545
"('i', 'mouth')",0.41912654
"('i', 'tooth')",0.23705915
"('i', 'tongue')",0.36780712
"('i', 'claw')",0.17533207
"('i', 'foot')",0.43453464
"('i', 'knee')",0.3989151
"('i', 'hand')",0.6291008
"('i', 'belly')",0.29033005
"('i', 'neck')",0.37503842
"('i', 'breasts')",0.2529938
"('i', 'heart')",0.5552635
"('i', 'liver')",0.19752866
"('i', 'drink')",0.4424252
"('i', 'eat')",0.514097
"('i', 'bite')",0.3908783
"('i', 'see')",0.7826691
"('i', 'hear')",0.6749807
"('i', 'know')",0.90196973
"('i', 'sleep')",0.48527282
"('i', 'die')",0.49631938
"('i', 'kill')",0.4107028
"('i', 'swim')",0.32976708
"('i', 'fly')",0.4057994
"('i', 'walk')",0.56635594
"('i', 'come')",0.77075255
"('i', 'lie')",0.4843176
"('i', 'sit')",0.5845479
"('i', 'stand')",0.6045876
"('i', 'give')",0.6495968
"('i', 'say')",0.74496573
"('i', 'sun')",0.36946732
"('i', 'moon')",0.3402884
"('i', 'star')",0.43855613
"('i', 'water')",0.40591836
"('i', 'rain')",0.35859525
"('i', 'stone')",0.3553182
"('i', 'sand')",0.32944763
"('i', 'earth')",0.38949084
"('i', 'cloud')",0.23144309
"('i', 'smoke')",0.35966897
"('i', 'fire')",0.4286315
"('i', 'ashes')",0.22721013
"('i', 'burn')",0.35521322
"('i', 'path')",0.38582602
"('i', 'mountain')",0.31651762
"('i', 'red')",0.43504736
"('i', 'green')",0.4348384
"('i', 'yellow')",0.30238682
"('i', 'white')",0.43592092
"('i', 'black')",0.44042718
"('i', 'night')",0.59089994
"('i', 'hot')",0.49874476
