index,Cosine Similarity
"('mann', 'sunu')",0.24998403
"('mann', 'hlaford')",-0.031203426
"('mann', 'heofon')",0.10231289
"('mann', 'leorningcnihtas')",-0.056886453
"('mann', 'fæder')",0.16402853
"('mann', 'rīce')",-0.09899561
"('mann', 'god')",0.024093838
"('mann', 'fela')",-0.029410262
"('mann', 'dæg')",-0.17626515
"('mann', 'micel')",-0.0019091712
"('mann', 'hūs')",0.1315317
"('mann', 'bearn')",0.059782438
"('mann', 'hand')",0.12975514
"('mann', 'eorþe')",0.2685879
"('mann', 'tīd')",0.029579272
"('mann', 'folc')",0.13428284
"('mann', 'wītega')",0.50300604
"('mann', 'bōceras')",-0.1322093
"('mann', 'þēowa')",0.23074342
"('mann', 'brōþor')",0.022203147
"('mann', 'cyning')",0.13095331
"('mann', 'tempel')",-0.017263465
"('sunu', 'mann')",0.24998403
"('sunu', 'hlaford')",-0.15906113
"('sunu', 'heofon')",0.03536451
"('sunu', 'leorningcnihtas')",0.32818007
"('sunu', 'fæder')",0.32565114
"('sunu', 'rīce')",0.21829967
"('sunu', 'god')",0.13002293
"('sunu', 'fela')",-0.04300624
"('sunu', 'dæg')",-0.039474815
"('sunu', 'micel')",-0.26834553
"('sunu', 'hūs')",0.032625206
"('sunu', 'bearn')",0.34328276
"('sunu', 'hand')",0.02883147
"('sunu', 'eorþe')",0.057739384
"('sunu', 'tīd')",0.19513842
"('sunu', 'folc')",0.2047677
"('sunu', 'wītega')",0.13823073
"('sunu', 'bōceras')",0.06997731
"('sunu', 'þēowa')",0.17703855
"('sunu', 'brōþor')",-0.08006085
"('sunu', 'cyning')",0.17010266
"('sunu', 'tempel')",-0.4095808
"('hlaford', 'mann')",-0.031203426
"('hlaford', 'sunu')",-0.15906113
"('hlaford', 'heofon')",0.21234146
"('hlaford', 'leorningcnihtas')",-0.098962635
"('hlaford', 'fæder')",-0.13824052
"('hlaford', 'rīce')",-0.14588624
"('hlaford', 'god')",0.12659189
"('hlaford', 'fela')",0.019795965
"('hlaford', 'dæg')",0.05584634
"('hlaford', 'micel')",0.009116311
"('hlaford', 'hūs')",-0.15893775
"('hlaford', 'bearn')",-0.17464228
"('hlaford', 'hand')",-0.21880835
"('hlaford', 'eorþe')",0.358609
"('hlaford', 'tīd')",0.23217657
"('hlaford', 'folc')",-0.045819156
"('hlaford', 'wītega')",-0.028872326
"('hlaford', 'bōceras')",0.018667236
"('hlaford', 'þēowa')",-0.11712921
"('hlaford', 'brōþor')",0.19954494
"('hlaford', 'cyning')",-0.10071077
"('hlaford', 'tempel')",0.779637
"('heofon', 'mann')",0.10231289
"('heofon', 'sunu')",0.03536451
"('heofon', 'hlaford')",0.21234146
"('heofon', 'leorningcnihtas')",-0.06262051
"('heofon', 'fæder')",0.06640961
"('heofon', 'rīce')",0.14000864
"('heofon', 'god')",-0.028877422
"('heofon', 'fela')",0.12949856
"('heofon', 'dæg')",0.44192022
"('heofon', 'micel')",-0.10735077
"('heofon', 'hūs')",0.0070573613
"('heofon', 'bearn')",0.19128431
"('heofon', 'hand')",-0.1646191
"('heofon', 'eorþe')",0.3362521
"('heofon', 'tīd')",0.121880054
"('heofon', 'folc')",-0.07210625
"('heofon', 'wītega')",0.11759041
"('heofon', 'bōceras')",0.06722246
"('heofon', 'þēowa')",0.002301786
"('heofon', 'brōþor')",-0.10155076
"('heofon', 'cyning')",-0.008347781
"('heofon', 'tempel')",0.2304408
"('leorningcnihtas', 'mann')",-0.056886453
"('leorningcnihtas', 'sunu')",0.32818007
"('leorningcnihtas', 'hlaford')",-0.098962635
"('leorningcnihtas', 'heofon')",-0.06262051
"('leorningcnihtas', 'fæder')",-0.062114567
"('leorningcnihtas', 'rīce')",0.09870798
"('leorningcnihtas', 'god')",-0.11465382
"('leorningcnihtas', 'fela')",0.2216985
"('leorningcnihtas', 'dæg')",-0.020221896
"('leorningcnihtas', 'micel')",-0.19178073
"('leorningcnihtas', 'hūs')",0.051847205
"('leorningcnihtas', 'bearn')",0.106101364
"('leorningcnihtas', 'hand')",0.28250456
"('leorningcnihtas', 'eorþe')",-0.18837793
"('leorningcnihtas', 'tīd')",0.25461477
"('leorningcnihtas', 'folc')",0.15470235
"('leorningcnihtas', 'wītega')",-0.011324286
"('leorningcnihtas', 'bōceras')",0.63055253
"('leorningcnihtas', 'þēowa')",0.23287258
"('leorningcnihtas', 'brōþor')",0.2642492
"('leorningcnihtas', 'cyning')",0.17175755
"('leorningcnihtas', 'tempel')",-0.2415168
"('fæder', 'mann')",0.16402853
"('fæder', 'sunu')",0.32565114
"('fæder', 'hlaford')",-0.13824052
"('fæder', 'heofon')",0.06640961
"('fæder', 'leorningcnihtas')",-0.062114567
"('fæder', 'rīce')",0.27591908
"('fæder', 'god')",0.34354314
"('fæder', 'fela')",-0.2974468
"('fæder', 'dæg')",-0.07116009
"('fæder', 'micel')",-0.29030204
"('fæder', 'hūs')",0.07793792
"('fæder', 'bearn')",0.3494671
"('fæder', 'hand')",0.23178944
"('fæder', 'eorþe')",0.1640382
"('fæder', 'tīd')",-0.1284129
"('fæder', 'folc')",-0.106656216
"('fæder', 'wītega')",0.19330782
"('fæder', 'bōceras')",-0.2723617
"('fæder', 'þēowa')",0.095688
"('fæder', 'brōþor')",-0.09272114
"('fæder', 'cyning')",0.121305905
"('fæder', 'tempel')",-0.19856575
"('rīce', 'mann')",-0.09899561
"('rīce', 'sunu')",0.21829967
"('rīce', 'hlaford')",-0.14588624
"('rīce', 'heofon')",0.14000864
"('rīce', 'leorningcnihtas')",0.09870798
"('rīce', 'fæder')",0.27591908
"('rīce', 'god')",-0.004481636
"('rīce', 'fela')",-0.13470334
"('rīce', 'dæg')",0.07125791
"('rīce', 'micel')",-0.1627484
"('rīce', 'hūs')",0.160435
"('rīce', 'bearn')",0.32981414
"('rīce', 'hand')",0.061487313
"('rīce', 'eorþe')",-0.032208674
"('rīce', 'tīd')",-0.0025962219
"('rīce', 'folc')",0.13574222
"('rīce', 'wītega')",0.18309407
"('rīce', 'bōceras')",-0.026444823
"('rīce', 'þēowa')",-0.022517655
"('rīce', 'brōþor')",0.037239656
"('rīce', 'cyning')",0.1971508
"('rīce', 'tempel')",-0.15218371
"('god', 'mann')",0.024093838
"('god', 'sunu')",0.13002293
"('god', 'hlaford')",0.12659189
"('god', 'heofon')",-0.028877422
"('god', 'leorningcnihtas')",-0.11465382
"('god', 'fæder')",0.34354314
"('god', 'rīce')",-0.004481636
