index,Cosine Similarity
"('man', 'son')",0.18578087
"('man', 'lord')",0.11150431
"('man', 'heaven')",0.13213095
"('man', 'disciples')",0.076090366
"('man', 'father')",0.16488817
"('man', 'kingdom')",0.24054027
"('man', 'god')",0.26951706
"('man', 'good')",0.10652067
"('man', 'many')",-0.10619963
"('man', 'day')",0.20371157
"('man', 'great')",0.01910007
"('man', 'house')",0.13906538
"('man', 'children')",0.011921097
"('man', 'hand')",0.019078895
"('man', 'earth')",0.13057634
"('man', 'time')",0.032725904
"('man', 'people')",-0.014465012
"('man', 'prophet')",0.08140176
"('man', 'scribes')",0.086961
"('man', 'servant')",0.098900385
"('man', 'brother')",0.21018663
"('man', 'hour')",0.0890739
"('man', 'king')",0.108124815
"('man', 'temple')",-0.047897402
"('son', 'man')",0.18578087
"('son', 'lord')",0.3305691
"('son', 'heaven')",0.26501694
"('son', 'disciples')",0.23566718
"('son', 'father')",0.27122873
"('son', 'kingdom')",0.11325301
"('son', 'god')",0.383828
"('son', 'good')",0.012981143
"('son', 'many')",-0.07707013
"('son', 'day')",0.14916635
"('son', 'great')",-0.106896356
"('son', 'house')",0.0047727227
"('son', 'children')",0.12337663
"('son', 'hand')",0.23768115
"('son', 'earth')",0.26557493
"('son', 'time')",-0.09507823
"('son', 'people')",0.09277865
"('son', 'prophet')",0.1505616
"('son', 'scribes')",0.2220859
"('son', 'servant')",0.10224794
"('son', 'brother')",0.1913164
"('son', 'hour')",-0.008646895
"('son', 'king')",0.31601483
"('son', 'temple')",0.26754037
"('lord', 'man')",0.11150431
"('lord', 'son')",0.3305691
"('lord', 'heaven')",0.008946769
"('lord', 'disciples')",0.2175011
"('lord', 'father')",0.2455469
"('lord', 'kingdom')",-0.04556477
"('lord', 'god')",0.11392216
"('lord', 'good')",0.21854311
"('lord', 'many')",0.018778047
"('lord', 'day')",0.0634938
"('lord', 'great')",-0.24356312
"('lord', 'house')",0.15615097
"('lord', 'children')",-0.025002968
"('lord', 'hand')",0.35881865
"('lord', 'earth')",0.13852014
"('lord', 'time')",0.000996992
"('lord', 'people')",-0.19627872
"('lord', 'prophet')",0.06704529
"('lord', 'scribes')",-0.16666114
"('lord', 'servant')",0.6296393
"('lord', 'brother')",0.1057919
"('lord', 'hour')",0.12156272
"('lord', 'king')",0.20910054
"('lord', 'temple')",-0.06354882
"('heaven', 'man')",0.13213095
"('heaven', 'son')",0.26501694
"('heaven', 'lord')",0.008946769
"('heaven', 'disciples')",-0.07164815
"('heaven', 'father')",0.4724151
"('heaven', 'kingdom')",0.4159518
"('heaven', 'god')",0.20155102
"('heaven', 'good')",0.06559317
"('heaven', 'many')",-0.07538962
"('heaven', 'day')",-0.032736465
"('heaven', 'great')",0.00042147376
"('heaven', 'house')",-0.036372155
"('heaven', 'children')",0.32611427
"('heaven', 'hand')",0.3060472
"('heaven', 'earth')",0.37568623
"('heaven', 'time')",0.13941556
"('heaven', 'people')",-0.111267075
"('heaven', 'prophet')",0.068608664
"('heaven', 'scribes')",0.07729395
"('heaven', 'servant')",-0.14059773
"('heaven', 'brother')",-0.035689514
"('heaven', 'hour')",-0.058863632
"('heaven', 'king')",0.30242866
"('heaven', 'temple')",0.043787252
"('disciples', 'man')",0.076090366
"('disciples', 'son')",0.23566718
"('disciples', 'lord')",0.2175011
"('disciples', 'heaven')",-0.07164815
"('disciples', 'father')",0.0939125
"('disciples', 'kingdom')",0.1300956
"('disciples', 'god')",0.115232304
"('disciples', 'good')",-0.10449216
"('disciples', 'many')",0.024326272
"('disciples', 'day')",0.16602388
"('disciples', 'great')",0.002540376
"('disciples', 'house')",0.25124884
"('disciples', 'children')",0.019015092
"('disciples', 'hand')",0.19561784
"('disciples', 'earth')",-0.043743633
"('disciples', 'time')",0.1554608
"('disciples', 'people')",0.0958651
"('disciples', 'prophet')",-0.27376133
"('disciples', 'scribes')",0.35190707
"('disciples', 'servant')",-0.060552616
"('disciples', 'brother')",0.25900418
"('disciples', 'hour')",-0.025371004
"('disciples', 'king')",0.19462511
"('disciples', 'temple')",0.08959964
"('father', 'man')",0.16488817
"('father', 'son')",0.27122873
"('father', 'lord')",0.2455469
"('father', 'heaven')",0.4724151
"('father', 'disciples')",0.0939125
"('father', 'kingdom')",0.26817364
"('father', 'god')",0.26060852
"('father', 'good')",0.15462016
"('father', 'many')",-0.21201214
